+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|               400 |  2 |     READY |   RUNNING |
|               410 |  2 |   RUNNING |   WAITING |
|               410 |  4 |     READY |   RUNNING |
|               420 |  3 |   WAITING |     READY |
|               420 |  1 |   WAITING |     READY |
|               430 |  2 |   WAITING |     READY |
|               450 |  4 |   RUNNING |   WAITING |
|               450 |  1 |     READY |   RUNNING |
|               460 |  1 |   RUNNING |   WAITING |
|               460 |  2 |     READY |   RUNNING |
|               470 |  2 |   RUNNING |   WAITING |
|               470 |  3 |     READY |   RUNNING |
|               480 |  1 |   WAITING |     READY |
|               490 |  4 |   WAITING |     READY |
|               490 |  2 |   WAITING |     READY |
|               500 |  3 |   RUNNING |   WAITING |
|               500 |  1 |     READY |   RUNNING |
|               510 |  1 |   RUNNING |   WAITING |
|               510 |  2 |     READY |   RUNNING |
|               520 |  2 |   RUNNING |   WAITING |
|               520 |  4 |     READY |   RUNNING |
|               530 |  3 |   WAITING |     READY |
|               530 |  1 |   WAITING |     READY |
|               540 |  2 |   WAITING |     READY |
|               560 |  4 |   RUNNING |TERMINATED |
|               560 |  1 |     READY |   RUNNING |
|               570 |  1 |   RUNNING |   WAITING |
|               570 |  2 |     READY |   RUNNING |
|               580 |  2 |   RUNNING |   WAITING |
|               580 |  3 |     READY |   RUNNING |
|               590 |  1 |   WAITING |     READY |
|               600 |  2 |   WAITING |     READY |
|               610 |  3 |   RUNNING |   WAITING |
|               610 |  1 |     READY |   RUNNING |
|               620 |  1 |   RUNNING |   WAITING |
|               620 |  2 |     READY |   RUNNING |
|               630 |  2 |   RUNNING |   WAITING |
|               630 |  5 |     READY |   RUNNING |
|               640 |  3 |   WAITING |     READY |
|               640 |  1 |   WAITING |     READY |
|               650 |  2 |   WAITING |     READY |
|               680 |  5 |   RUNNING |   WAITING |
|               680 |  1 |     READY |   RUNNING |
|               690 |  1 |   RUNNING |   WAITING |
|               690 |  2 |     READY |   RUNNING |
|               700 |  2 |   RUNNING |   WAITING |
|               700 |  3 |     READY |   RUNNING |
|               710 |  1 |   WAITING |     READY |
|               720 |  2 |   WAITING |     READY |
|               730 |  5 |   WAITING |     READY |
|               730 |  3 |   RUNNING |   WAITING |
|               730 |  1 |     READY |   RUNNING |
|               740 |  1 |   RUNNING |   WAITING |
|               740 |  2 |     READY |   RUNNING |
|               750 |  2 |   RUNNING |   WAITING |
|               750 |  5 |     READY |   RUNNING |
|               760 |  3 |   WAITING |     READY |
|               760 |  1 |   WAITING |     READY |
|               770 |  2 |   WAITING |     READY |
|               800 |  5 |   RUNNING |TERMINATED |
|               800 |  1 |     READY |   RUNNING |
|               810 |  1 |   RUNNING |   WAITING |
|               810 |  2 |     READY |   RUNNING |
|               820 |  2 |   RUNNING |   WAITING |
|               820 |  3 |     READY |   RUNNING |
|               830 |  1 |   WAITING |     READY |
|               840 |  2 |   WAITING |     READY |
|               850 |  3 |   RUNNING |   WAITING |
|               850 |  1 |     READY |   RUNNING |
|               860 |  1 |   RUNNING |   WAITING |
|               860 |  2 |     READY |   RUNNING |
|               870 |  2 |   RUNNING |   WAITING |
|               880 |  3 |   WAITING |     READY |
|               880 |  1 |   WAITING |     READY |
|               880 |  1 |     READY |   RUNNING |
|               890 |  2 |   WAITING |     READY |
|               890 |  1 |   RUNNING |   WAITING |
|               890 |  2 |     READY |   RUNNING |
|               900 |  2 |   RUNNING |   WAITING |
|               900 |  3 |     READY |   RUNNING |
|               910 |  1 |   WAITING |     READY |
|               920 |  2 |   WAITING |     READY |
|               930 |  3 |   RUNNING |   WAITING |
|               930 |  1 |     READY |   RUNNING |
|               940 |  1 |   RUNNING |   WAITING |
|               940 |  2 |     READY |   RUNNING |
|               950 |  2 |   RUNNING |   WAITING |
|               960 |  3 |   WAITING |     READY |
|               960 |  1 |   WAITING |     READY |
|               960 |  1 |     READY |   RUNNING |
|               970 |  2 |   WAITING |     READY |
|               970 |  1 |   RUNNING |   WAITING |
|               970 |  2 |     READY |   RUNNING |
|               980 |  2 |   RUNNING |   WAITING |
|               980 |  3 |     READY |   RUNNING |
|               990 |  1 |   WAITING |     READY |
|              1000 |  2 |   WAITING |     READY |
|              1010 |  3 |   RUNNING |TERMINATED |
|              1010 |  1 |     READY |   RUNNING |
|              1020 |  1 |   RUNNING |   WAITING |
|              1020 |  2 |     READY |   RUNNING |
|              1030 |  2 |   RUNNING |   WAITING |
|              1040 |  1 |   WAITING |     READY |
|              1040 |  1 |     READY |   RUNNING |
|              1050 |  2 |   WAITING |     READY |
|              1050 |  1 |   RUNNING |   WAITING |
|              1050 |  2 |     READY |   RUNNING |
|              1060 |  2 |   RUNNING |   WAITING |
|              1070 |  1 |   WAITING |     READY |
|              1070 |  1 |     READY |   RUNNING |
|              1080 |  2 |   WAITING |     READY |
|              1080 |  1 |   RUNNING |   WAITING |
|              1080 |  2 |     READY |   RUNNING |
|              1090 |  2 |   RUNNING |   WAITING |
|              1100 |  1 |   WAITING |     READY |
|              1100 |  1 |     READY |   RUNNING |
|              1110 |  2 |   WAITING |     READY |
|              1110 |  1 |   RUNNING |   WAITING |
|              1110 |  2 |     READY |   RUNNING |
|              1120 |  2 |   RUNNING |   WAITING |
|              1130 |  1 |   WAITING |     READY |
|              1130 |  1 |     READY |   RUNNING |
|              1140 |  2 |   WAITING |     READY |
|              1140 |  1 |   RUNNING |   WAITING |
|              1140 |  2 |     READY |   RUNNING |
|              1150 |  2 |   RUNNING |   WAITING |
|              1160 |  1 |   WAITING |     READY |
|              1160 |  1 |     READY |   RUNNING |
|              1170 |  2 |   WAITING |     READY |
|              1170 |  1 |   RUNNING |   WAITING |
|              1170 |  2 |     READY |   RUNNING |
|              1180 |  2 |   RUNNING |   WAITING |
|              1190 |  1 |   WAITING |     READY |
|              1190 |  1 |     READY |   RUNNING |
|              1200 |  2 |   WAITING |     READY |
|              1200 |  1 |   RUNNING |   WAITING |
|              1200 |  2 |     READY |   RUNNING |
|              1210 |  2 |   RUNNING |   WAITING |
|              1220 |  1 |   WAITING |     READY |
|              1220 |  1 |     READY |   RUNNING |
|              1230 |  2 |   WAITING |     READY |
|              1230 |  1 |   RUNNING |   WAITING |
|              1230 |  2 |     READY |   RUNNING |
|              1240 |  2 |   RUNNING |   WAITING |
|              1250 |  1 |   WAITING |     READY |
|              1250 |  1 |     READY |   RUNNING |
|              1260 |  2 |   WAITING |     READY |
|              1260 |  1 |   RUNNING |   WAITING |
|              1260 |  2 |     READY |   RUNNING |
|              1270 |  2 |   RUNNING |   WAITING |
|              1280 |  1 |   WAITING |     READY |
|              1280 |  1 |     READY |   RUNNING |
|              1290 |  2 |   WAITING |     READY |
|              1290 |  1 |   RUNNING |   WAITING |
|              1290 |  2 |     READY |   RUNNING |
|              1300 |  2 |   RUNNING |   WAITING |
|              1310 |  1 |   WAITING |     READY |
|              1310 |  1 |     READY |   RUNNING |
|              1320 |  2 |   WAITING |     READY |
|              1320 |  1 |   RUNNING |   WAITING |
|              1320 |  2 |     READY |   RUNNING |
|              1330 |  2 |   RUNNING |   WAITING |
|              1340 |  1 |   WAITING |     READY |
|              1340 |  1 |     READY |   RUNNING |
|              1350 |  2 |   WAITING |     READY |
|              1350 |  1 |   RUNNING |   WAITING |
|              1350 |  2 |     READY |   RUNNING |
|              1360 |  2 |   RUNNING |   WAITING |
|              1370 |  1 |   WAITING |     READY |
|              1370 |  1 |     READY |   RUNNING |
|              1380 |  2 |   WAITING |     READY |
|              1380 |  1 |   RUNNING |   WAITING |
|              1380 |  2 |     READY |   RUNNING |
|              1390 |  2 |   RUNNING |   WAITING |
|              1400 |  1 |   WAITING |     READY |
|              1400 |  1 |     READY |   RUNNING |
|              1410 |  2 |   WAITING |     READY |
|              1410 |  1 |   RUNNING |   WAITING |
|              1410 |  2 |     READY |   RUNNING |
|              1420 |  2 |   RUNNING |   WAITING |
|              1430 |  1 |   WAITING |     READY |
|              1430 |  1 |     READY |   RUNNING |
|              1440 |  2 |   WAITING |     READY |
|              1440 |  1 |   RUNNING |   WAITING |
|              1440 |  2 |     READY |   RUNNING |
|              1450 |  2 |   RUNNING |   WAITING |
|              1460 |  1 |   WAITING |     READY |
|              1460 |  1 |     READY |   RUNNING |
|              1470 |  2 |   WAITING |     READY |
|              1470 |  1 |   RUNNING |   WAITING |
|              1470 |  2 |     READY |   RUNNING |
|              1480 |  2 |   RUNNING |   WAITING |
|              1490 |  1 |   WAITING |     READY |
|              1490 |  1 |     READY |   RUNNING |
|              1500 |  2 |   WAITING |     READY |
|              1500 |  1 |   RUNNING |   WAITING |
|              1500 |  2 |     READY |   RUNNING |
|              1510 |  2 |   RUNNING |   WAITING |
|              1520 |  1 |   WAITING |     READY |
|              1520 |  1 |     READY |   RUNNING |
|              1530 |  2 |   WAITING |     READY |
|              1530 |  1 |   RUNNING |   WAITING |
|              1530 |  2 |     READY |   RUNNING |
|              1540 |  2 |   RUNNING |   WAITING |
|              1550 |  1 |   WAITING |     READY |
|              1550 |  1 |     READY |   RUNNING |
|              1560 |  2 |   WAITING |     READY |
|              1560 |  1 |   RUNNING |   WAITING |
|              1560 |  2 |     READY |   RUNNING |
|              1570 |  2 |   RUNNING |   WAITING |
|              1580 |  1 |   WAITING |     READY |
|              1580 |  1 |     READY |   RUNNING |
|              1590 |  2 |   WAITING |     READY |
|              1590 |  1 |   RUNNING |   WAITING |
|              1590 |  2 |     READY |   RUNNING |
|              1600 |  2 |   RUNNING |   WAITING |
|              1610 |  1 |   WAITING |     READY |
|              1610 |  1 |     READY |   RUNNING |
|              1620 |  2 |   WAITING |     READY |
|              1620 |  1 |   RUNNING |   WAITING |
|              1620 |  2 |     READY |   RUNNING |
|              1630 |  2 |   RUNNING |TERMINATED |
|              1640 |  1 |   WAITING |     READY |
|              1640 |  1 |     READY |   RUNNING |
|              1650 |  1 |   RUNNING |   WAITING |
|              1670 |  1 |   WAITING |     READY |
|              1670 |  1 |     READY |   RUNNING |
|              1680 |  1 |   RUNNING |   WAITING |
|              1700 |  1 |   WAITING |     READY |
|              1700 |  1 |     READY |   RUNNING |
|              1710 |  1 |   RUNNING |   WAITING |
|              1730 |  1 |   WAITING |     READY |
|              1730 |  1 |     READY |   RUNNING |
|              1740 |  1 |   RUNNING |   WAITING |
|              1760 |  1 |   WAITING |     READY |
|              1760 |  1 |     READY |   RUNNING |
|              1770 |  1 |   RUNNING |   WAITING |
|              1790 |  1 |   WAITING |     READY |
|              1790 |  1 |     READY |   RUNNING |
|              1800 |  1 |   RUNNING |   WAITING |
|              1820 |  1 |   WAITING |     READY |
|              1820 |  1 |     READY |   RUNNING |
|              1830 |  1 |   RUNNING |   WAITING |
|              1850 |  1 |   WAITING |     READY |
|              1850 |  1 |     READY |   RUNNING |
|              1860 |  1 |   RUNNING |   WAITING |
|              1880 |  1 |   WAITING |     READY |
|              1880 |  1 |     READY |   RUNNING |
|              1890 |  1 |   RUNNING |   WAITING |
|              1910 |  1 |   WAITING |     READY |
|              1910 |  1 |     READY |   RUNNING |
|              1920 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
